id,ok_schema,ok_dev3,ok_grade_age,ok_subjects,ok_agentname,ok_academic_level,ok_style_values,ok_style_social,ok_style_creativity,ok_style_psych,ok_sensitive,ok_values_7dims,ok_crea_8dims_radar,ok_psy_coverage,values_len_ok,social_len_ok,psych_len_ok,distinct2_values,distinct3_values,distinct2_social,distinct3_social,distinct2_crea,distinct3_crea,distinct2_psych,distinct3_psych,crea_std,coh_values_psy,性别,年级,学术水平(raw),代理名
1,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,False,0.9377049180327869,0.993421052631579,0.9551569506726457,0.9954954954954955,0.84375,0.9467084639498433,0.9090909090909091,0.9886104783599089,0.6959705453537527,0.0,女,初二,中：成绩全校排名前10%至30%,chen2_si1yi2
2,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,0.9296875,0.9869451697127938,0.9254385964912281,0.986784140969163,0.8780487804878049,0.9663608562691132,0.9001956947162426,0.9862745098039216,0.6614378277661477,0.0,男,初一,中：成绩全校排名前10%至30%,li3_jia1cheng2
3,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,0.9086538461538461,0.9903614457831326,0.9573643410852714,1.0,0.8757575757575757,0.9635258358662614,0.8942731277533039,0.9933774834437086,0.8329931278350429,,女,初二,中：成绩全校排名前10%至30%,wang2_yu3chen2
4,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,0.9239130434782609,0.9963636363636363,0.9451612903225807,0.9902912621359223,0.8661417322834646,0.9605263157894737,0.8863636363636364,0.9937888198757764,0.5624291338579864,,男,初一,中：成绩全校排名前10%至30%,zhao4_yu3xuan1
5,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,0.9018567639257294,0.973404255319149,0.96,0.9879518072289156,0.8879781420765027,0.9616438356164384,0.8888888888888888,0.9860834990059643,0.7284313590846836,0.0,女,高一,中：成绩全校排名前10%至30%,sun1_zhihan2
6,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,0.9076212471131639,0.9837962962962963,0.961864406779661,1.0,0.8263888888888888,0.9477351916376306,0.8925143953934741,0.9884615384615385,0.6091746465505602,0.0,女,高一,中：成绩全校排名前10%至30%,lin2_jin3yu2
7,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,0.8770685579196218,0.981042654028436,0.9291044776119403,0.9962546816479401,0.8794326241134752,0.9739336492890995,0.8685714285714285,0.982824427480916,0.6584783595532961,,女,初一,中：成绩全校排名前10%至30%,gao1_si1_han2
8,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,0.896640826873385,0.9844559585492227,0.9365671641791045,0.9962546816479401,0.8991097922848664,0.9672619047619048,0.8810408921933085,0.9795158286778398,0.4714045207910317,0.0,男,初二,中：成绩全校排名前10%至30%,zhou1_zi3mo4
9,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,0.9152173913043479,0.9803921568627451,0.9465020576131687,0.9958677685950413,0.8814102564102564,0.9678456591639871,0.9046610169491526,0.9893842887473461,0.7453559924999298,0.5,女,高一,中：成绩全校排名前10%至30%,xu2_wan3lin2
10,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,0.9113636363636364,0.9817767653758542,0.9190031152647975,0.9875,0.8615751789976134,0.9641148325358851,0.8723849372384938,0.9769392033542977,0.6614378277661477,,女,初二,中：成绩全校排名前10%至30%,xu3_nuo4
